SampleID,SiteID,Date,Year,State,StreamName,LatutudeWQ,LongitudeWQ,HabitatType,habitat,WaterTemp_C,DOPercent,DO_mgL,Turbidity_NTU,Conductivity_Scm,pH,Topeka_Shiner
17MNRKRKRT59,KA1,5/24/2017,2017,MN,Rock_River_Tributary,43.933,-96.186,Oxbow,oxbow,12.25,131.7,11.81,36.2,708.3,8.8,21
18MNRKRKRT43,HU3,2018,2018,MN,Rock_River_Tributary,43.764,-96.091,Oxbow,oxbow,17.5,180,,120.1,714,,0
17MNRKCPPD38,SC1,6/1/2017,2017,MN,Champepedan_Creek,43.72,-96.077,Oxbow,oxbow,21.91,174.4,12.79,60.2,719.9,8.45,0
17MNBSWLW56,GE1,5/23/2017,2017,MN,Willow_Creek,44.152,-96.415,Oxbow,oxbow,11.89,104.8,9.47,12.3,723.2,8.54,0
18MNRKLRKR23,LJ3,2018,2018,MN,Little_Rock_River,43.58,-95.757,Oxbow,oxbow,22.8,138.7,,116,725,,2
17MNBSBVR13,TS2,6/1/2017,2017,MN,Beaver_Creek,43.741,-96.263,Oxbow,oxbow,17.06,143.7,11.57,22.3,728.7,8.57,21
17MNRKRKRT31,HU3,6/1/2017,2017,MN,Rock_River_Tributary,43.764,-96.091,Oxbow,oxbow,16.42,207.3,16.95,23.5,730.2,8.13,0
18MNBSBVR05,TS4,2018,2018,MN,Beaver_Creek,43.74,-96.261,Oxbow,oxbow,13.2,116.4,,,731,,20
19MNRKRKRT07,HU3,2019,2019,MN,Rock_River_Tributary,43.764,-96.091,Oxbow,oxbow,17.5,106.6,,4.5,734,,0
19MNRKRKRT08,HU4,2019,2019,MN,Rock_River_Tributary,43.762,-96.09,Oxbow,oxbow,13.7,85.5,,-0.2,740,,2
17MNRKCPPD18,KR3,6/1/2017,2017,MN,Champepedan_Creek,43.762,-96.049,Oxbow,oxbow,24.43,143.5,9.9,11.8,740.6,8.67,6
18MNRKRKRT42,HU4,2018,2018,MN,Rock_River_Tributary,43.763,-96.09,Oxbow,oxbow,12.3,105.6,,120.6,745,,0
17MNBSBVR10,TS4,6/1/2017,2017,MN,Beaver_Creek,43.739,-96.262,Oxbow,oxbow,11.1,132.6,12.15,12.2,751.5,8,0
17MNBSBVRT05,TS7,6/1/2017,2017,MN,Beaver_Creek_Tributary,43.731,-96.292,Oxbow,oxbow,16.97,203.8,16.63,68.2,752.9,8.53,3
17MNRKRKRT33,HU4,6/1/2017,2017,MN,Rock_River_Tributary,43.763,-96.09,Oxbow,oxbow,10.41,135.5,12.66,4.5,753.2,7.89,0
