
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
s[95]     8.15820519 13.30736168  2.806167e+00  5.8369250000 24.6759725 1.15  1264
s[96]    12.02757289 11.84722769  6.387328e+00  9.8281500000 27.8743500 1.13  1294
s[97]     8.92132950  9.46423197  4.290600e+00  6.9416000000 23.5836325 1.10  1285
s[98]     8.92132950  9.46423197  4.290600e+00  6.9416000000 23.5836325 1.10  1285
s[99]     5.99494101 13.34043050  2.142340e+00  3.9294550000 19.8212325 1.17  1248
s[100]    4.93067057 13.87305503  1.868717e+00  3.3154700000 14.3505025 1.21  1237
s[101]    7.20624678 13.37243857  2.191834e+00  4.8086300000 23.4471425 1.15  1260
s[102]    7.20624678 13.37243857  2.191834e+00  4.8086300000 23.4471425 1.15  1260
s[103]   11.08912207 11.17063752  5.131047e+00  9.2021400000 26.3356075 1.13  1300
s[104]   11.08912207 11.17063752  5.131047e+00  9.2021400000 26.3356075 1.13  1300
s[105]    3.23021780 15.82205963  8.506077e-01  1.9145350000  9.1402317 1.25  1221
s[106]    3.23021780 15.82205963  8.506077e-01  1.9145350000  9.1402317 1.25  1221
s[107]    7.65003847 10.14180473  3.468635e+00  5.9375300000 20.9004275 1.15  1299
s[108]    7.65003847 10.14180473  3.468635e+00  5.9375300000 20.9004275 1.15  1299
s[109]   10.00388002 11.87917900  3.749037e+00  7.8360400000 27.1668775 1.13  1306
s[110]   10.00388002 11.87917900  3.749037e+00  7.8360400000 27.1668775 1.13  1306
s[111]   10.96478347 12.48807905  5.366161e+00  8.6173600000 28.2350150 1.13  1285
s[112]   10.96478347 12.48807905  5.366161e+00  8.6173600000 28.2350150 1.13  1285
s[113]    9.32607717 12.88817154  3.956379e+00  6.9670700000 26.7796825 1.14  1278
s[114]    1.41659429  0.89715336  7.386015e-01  1.1124150000  3.7936327 1.01  1310
s[115]    1.41659429  0.89715336  7.386015e-01  1.1124150000  3.7936327 1.01  1310
s[116]    1.00863948  0.69405801  3.434991e-01  0.8007240000  2.9131262 1.01  1446
s[117]    3.90026689  2.06284050  2.100826e+00  3.3599600000  8.8098360 1.00  1316
s[118]    1.88569237  2.54101246  1.172718e+00  1.5450150000  4.3649522 1.24  1368
s[119]    1.88569237  2.54101246  1.172718e+00  1.5450150000  4.3649522 1.24  1368
s[120]    1.88569237  2.54101246  1.172718e+00  1.5450150000  4.3649522 1.24  1368
s[121]    3.79631993  4.99367059  1.460280e+00  2.8792950000 10.9627700 1.15  1327
s[122]    6.73390506  5.97350878  3.607935e+00  5.6191550000 15.7973550 1.13  1330
s[123]    5.98331528  6.47456309  2.546148e+00  4.6673950000 16.2601225 1.12  1326
s[124]    5.98331528  6.47456309  2.546148e+00  4.6673950000 16.2601225 1.12  1326
s[125]    9.96031121  7.71868628  5.669906e+00  8.3850000000 22.5374175 1.11  1323
s[126]    9.96031121  7.71868628  5.669906e+00  8.3850000000 22.5374175 1.11  1323
s[127]    8.55516455 11.75573610  2.314681e+00  6.3057200000 25.6446975 1.13  1308
s[128]    8.15046594  9.15105071  2.875463e+00  6.1880500000 23.4943150 1.09  1317
s[129]    8.21921740  9.10420030  2.976225e+00  6.2705400000 23.4802600 1.09  1318
s[130]    8.21921740  9.10420030  2.976225e+00  6.2705400000 23.4802600 1.09  1318
s[131]   10.58406905 11.31762790  4.488555e+00  8.5816800000 26.3652475 1.13  1300
s[132]   10.58406905 11.31762790  4.488555e+00  8.5816800000 26.3652475 1.13  1300
s[133]    4.68506858  9.50565089  1.317216e+00  2.9298950000 17.5580875 1.13  1275
s[134]    7.20756221 14.21508194  3.752192e+00  5.7446150000 15.9707200 1.22  1237
s[135]    7.20756221 14.21508194  3.752192e+00  5.7446150000 15.9707200 1.22  1237
s[136]    4.62611835 14.78402002  2.147187e+00  3.0812850000 12.5950850 1.23  1228
s[137]   11.14465547 12.51498347  5.648584e+00  8.7807300000 28.5041950 1.13  1282
s[138]    8.02780970 10.18777389  3.786972e+00  6.3023550000 21.3521275 1.15  1299
s[139]   10.80448662 12.22316758  4.400243e+00  8.5919500000 27.7610650 1.13  1298
s[140]   10.80448662 12.22316758  4.400243e+00  8.5919500000 27.7610650 1.13  1298
