Site_Num,County,Year,Township,Range,Sections,Stream,Habitat,Pool_Riffle,Substrate,Lat,Long,Topeka_Shiner
211_1,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,spring_seep_pool,,43.864,-96.230,1
211_2,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,pool,,43.864,-96.230,1
211_3,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,in-channel/MCB,,43.865,-96.230,1
211_4,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,channel_boarder_pool,,43.864,-96.231,1
211_5,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,channel_boarder_pool,,43.864,-96.231,1
211_6,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,channel_boarder_pool,,43.864,-96.231,1
211_7,Pipestone,2015,105,45,27,Poplar_Creek,in_channel,in-channel/MCB,,43.864,-96.231,1
212_1,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,bend_pool_,,44.142,-96.382,0
212_2,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,bend_pool_,,44.142,-96.382,0
212_3,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,bend_pool_,,44.142,-96.381,0
212_4,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,channel_border_pool_,,44.142,-96.380,0
212_5,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,pool_,,44.143,-96.379,0
212_6,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,bend_pool_,,44.145,-96.376,0
212_7,Pipestone,2015,108,46,21,Flandreau_Creek,in_channel,off_channel_slough_,,44.144,-96.379,0
213_1,Nobles,2015,104,43,14,Champepadan_Creek,in_channel,all_habitat,,43.807,-95.969,0
213_2,Nobles,2015,104,43,15,Champepadan_Creek,in_channel,all_habitat,,43.806,-95.974,0
214_1,Rock,2015,103,45,18,Beaver_Creek,in_channel,in-channel/MCB,,43.719,-96.282,1
214_2,Rock,2015,103,45,18,Beaver_Creek,in_channel,side_channel,,43.719,-96.278,1
214_3,Rock,2015,103,45,18,Beaver_Creek,in_channel,pool,,43.719,-96.278,1
214_4,Rock,2015,103,45,18,Beaver_Creek,in_channel,side_channel,,43.719,-96.278,1
214_5,Rock,2015,103,45,18,Beaver_Creek,in_channel,riffle,,43.719,-96.279,1
214_6,Rock,2015,103,45,18,Beaver_Creek,in_channel,pool,,43.719,-96.279,1
215_1,Pipestone,2015,105,47,1,Tributary_Pipestone_Creek,in_channel,main_channel,,43.719,-96.282,0
215_2,Pipestone,2015,105,47,1,Tributary_Pipestone_Creek,in_channel,bend_pool,,43.719,-96.278,0
215_3,Pipestone,2015,105,47,1,Tributary_Pipestone_Creek,in_channel,in-channel/MCB,,43.719,-96.278,0
215_4,Pipestone,2015,105,47,1,Tributary_Pipestone_Creek,in_channel,pool,,43.719,-96.278,0
215_5,Pipestone,2015,105,47,1,Tributary_Pipestone_Creek,in_channel,pool,,43.719,-96.279,0
215_6,Pipestone,2015,105,47,1,Tributary_Pipestone_Creek,in_channel,culvert_pool_,,43.719,-96.279,0
216_1,Pipestone,2015,102,42,1_2,East_Branch_Kanaranzi_Creek,in_channel,pool,,43.672,-95.831,1
217_1,Nobles,2015,104,43,31,Champepadan_Creek,in_channel,glide_pool/run,,43.766,-96.049,0
217_2,Nobles,2015,104,43,31,Champepadan_Creek,in_channel,riffle,,43.765,-96.049,0
217_3,Nobles,2015,104,43,31,Champepadan_Creek,in_channel,bend_pool,,43.765,-96.049,0
217_4,Nobles,2015,104,43,31,Champepadan_Creek,in_channel,channel_boarder_pool,,43.764,-96.049,0
217_5,Nobles,2015,104,43,31,Champepadan_Creek,in_channel,bend_pool,,43.764,-96.050,0
217_6,Nobles,2015,104,43,31,Champepadan_Creek,in_channel,channel_boarder_pool,,43.763,-96.049,0
218_1,Rock,2015,102,45,11_14,Rock_River,in_channel,side_pool,,43.646,-96.199,1
219_1,Nobles,2015,102,43,11_14,Kanaranzi_Creek,off_channel,slough,,43.645,-95.960,1
219_2,Nobles,2015,102,43,11_14,Kanaranzi_Creek,off_channel,main_channel,,43.644,-95.962,0
219_3,Nobles,2015,102,43,11_14,Kanaranzi_Creek,off_channel,side_channel,,43.645,-95.963,0
219_4,Nobles,2015,102,43,11_14,Kanaranzi_Creek,off_channel,main_channel,,43.642,-95.962,0
219_5,Nobles,2015,102,43,11_14,Kanaranzi_Creek,off_channel,channel_boarder_pool,,43.641,-95.960,1
220_1,Nobles,2015,101,42,23,Little_Rock_River,in_channel,channel_boarder_pool,,43.538,-95.839,1
220_2,Nobles,2015,101,42,23,Little_Rock_River,in_channel,in-channel/MCB,,43.535,-95.839,0
220_3,Nobles,2015,101,42,23,Little_Rock_River,in_channel,riffle,,43.535,-95.841,1
221_1 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,in_channel/MCB,,43.689,-95.906,0
221_2 ,Nobles,2016,103,42,32,Kanaranzi_Creek,in_channel,in_channel/MCB,,43.688,-95.906,0
