Site_Num,County,Year,Township,Range,Sections,Stream,Habitat,Pool_Riffle,Substrate,Lat,Long,Topeka_Shiner,Count,2004,2007,2008,2009,2010
32_1,Nobles,2005,104,43,29,Champepadan_Creek,in_channel,backwater,"sand, silt",43.786555,-96.029917,1,,,,,,
33_1,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.702852,-96.159073,0,,,,,,
33_2,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.702980,-96.159228,0,,,,,,
33_3,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703086,-96.159322,0,,,,,,
33_4,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703902,-96.160111,0,,,,,,
33_5,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703750,-96.160102,0,,,,,,
33_6,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703590,-96.160054,0,,,,,,
33_7,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703522,-96.160257,0,,,,,,
33_8,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703564,-96.160449,0,,,,,,
33_9,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703142,-96.167783,0,,,,,,
33_10,Rock,2005,103,44,19_30,Mound_Creek,in_channel,flow,"sand, gravel",43.703273,-96.168079,0,,,,,,
34_1,Nobles,2005,103,43,29_32,Elk_Creek,in_channel,pool,"sand, silt",43.688447,-96.020123,1,,,,,,
35_1,Nobles,2005,102,42,6_7,Kanaranzi_Creek,off_channel,oxbow,"sand, mud",43.659177,-95.918324,1,,,,,,
36_1,Nobles,2005,102,43,38_39,Kanaranzi_Creek,in_channel,pool,"sand, silt",43.611296,-96.013858,0,,,,,,
36_2,Nobles,2005,102,43,38_39,Kanaranzi_Creek,in_channel,pool,"sand, silt",43.611182,-96.014204,0,,,,,,
36_3,Nobles,2005,102,43,38_39,Kanaranzi_Creek,in_channel,backwater,"sand, silt",43.610034,-96.019090,1,,,,,,
37_1,Rock,2005,101,44,1_12,Kanaranzi_Creek,in_channel,backwater,"silt, sand",43.573091,-96.064235,1,,,,,,
38_1,Rock,2005,102,44,21_22,Elk_Creek,in_channel,flow,"sand, silt",43.621240,-96.113314,0,,,,,,
38_2,Rock,2005,102,44,21_22,Elk_Creek,in_channel,flow,"sand, silt",43.621201,-96.113583,0,,,,,,
38_3,Rock,2005,102,44,21_22,Elk_Creek,in_channel,flow,"sand, silt",43.621740,-96.114905,0,,,,,,
38_4,Rock,2005,102,44,21_22,Elk_Creek,in_channel,flow,"sand, silt",43.622734,-96.115444,0,,,,,,
38_5,Rock,2005,102,44,21_22,Elk_Creek,in_channel,flow,"sand, silt",43.622709,-96.117310,1,,,,,,
39_1,Rock,2005,102,45,25_36,Elk_Creek,in_channel,backwater,"mud, sand",43.600978,-96.182320,0,,,,,,
39_2,Rock,2005,102,45,25_36,Elk_Creek,in_channel,backwater,"mud, sand",43.600833,-96.182793,1,,,,,,
40_1,Rock,2005,102,46,11_12,Beaver_Creek,in_channel,flow,"sand, silt",43.648820,-96.314855,0,,,,,,
40_2,Rock,2005,102,46,11_13,Beaver_Creek,in_channel,flow,"sand, silt",43.648770,-96.314080,0,,,,,,
